symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,0.00043100,0.612,0.07000998,0.07041800,0.07085400,0.10140000,0.07085400,0.78910000,0.07085500,2.39870000,0.07042300,0.07085500,0.06940000,87928.42470000,6155.86753952,1637100125704,1637186525704,309322438,309528828,206391
LTCBTC,-0.00009300,-2.408,0.00381577,0.00386200,0.00376900,4.20000000,0.00376900,4.47900000,0.00377000,1.17800000,0.00386200,0.00389800,0.00372300,205720.75200000,784.98339601,1637100124928,1637186524928,73446576,73512361,65786
BNBBTC,-0.00011600,-1.192,0.00960181,0.00973200,0.00961600,0.97000000,0.00961600,3.63500000,0.00961700,29.47100000,0.00973200,0.00982500,0.00940800,173149.70600000,1662.55098493,1637100125852,1637186525852,168658688,168796830,138143
NEOBTC,-0.00000300,-0.418,0.00071073,0.00072000,0.00071500,15.50000000,0.00071400,1.00000000,0.00071500,575.11000000,0.00071800,0.00072100,0.00070100,44559.49000000,31.66956101,1637100125447,1637186525447,42427307,42432354,5048
QTUMETH,-0.00009700,-2.670,0.00358260,0.00365000,0.00353600,42.40000000,0.00353000,46.50000000,0.00353600,313.30000000,0.00363300,0.00367500,0.00352700,40909.40000000,146.56219370,1637100122947,1637186522947,5059734,5061420,1687
EOSETH,-0.00001600,-1.553,0.00102933,0.00103000,0.00101400,84.70000000,0.00101300,2043.00000000,0.00101400,463.70000000,0.00103000,0.00104300,0.00101400,192145.80000000,197.78124030,1637100124064,1637186524064,22789510,22791025,1516
SNTETH,0.00000119,5.802,0.00002130,0.00002060,0.00002170,3226.00000000,0.00002162,1056.00000000,0.00002175,1050.00000000,0.00002051,0.00002209,0.00002045,1535285.00000000,32.70457830,1637100109025,1637186509025,3319145,3319856,712
BNTETH,-0.00001000,-1.030,0.00097073,0.00097400,0.00096100,36.30000000,0.00096000,307.20000000,0.00096400,637.90000000,0.00097100,0.00098100,0.00096100,58542.50000000,56.82887150,1637100035697,1637186435697,1943575,1944661,1087
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
GASBTC,0.00000700,5.181,0.00013903,0.00013500,0.00014210,8.80000000,0.00014200,3.00000000,0.00014210,16.40000000,0.00013510,0.00014390,0.00013420,131559.30000000,18.29044361,1637100100840,1637186500840,17217289,17228303,11015
BNBETH,-0.00250000,-1.809,0.13685849,0.13820000,0.13570000,0.15900000,0.13570000,4.60500000,0.13580000,26.39500000,0.13820000,0.14070000,0.13450000,51543.93000000,7054.22449610,1637100125638,1637186525638,42343804,42377388,33585
BTCUSDT,-442.66000000,-0.732,59819.45088506,60489.59000000,60039.48000000,0.00355000,60039.47000000,0.12135000,60039.48000000,0.08044000,60482.14000000,61199.65000000,58373.00000000,46521.12355000,2782868065.31683440,1637100125835,1637186525835,1148437540,1149931868,1494329
ETHUSDT,-4.41000000,-0.104,4187.34543191,4258.88000000,4254.33000000,0.38970000,4254.33000000,0.19770000,4254.47000000,0.76650000,4258.74000000,4297.51000000,4063.48000000,469160.75640000,1964538150.14399400,1637100125856,1637186525856,675427864,676569324,1141461
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
MCOETH,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
ICNETH,0.00000000,0.000,0.00000000,0.00166300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
MCOBTC,0.00000000,0.000,0.00000000,0.00021140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
WTCBTC,-0.00000014,-0.964,0.00001453,0.00001452,0.00001439,65.00000000,0.00001439,1231.00000000,0.00001440,51.00000000,0.00001453,0.00001497,0.00001423,872209.00000000,12.67748586,1637100122238,1637186522238,18167448,18174150,6703
WTCETH,0.00000000,0.000,0.00000000,0.00023700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
LRCBTC,-0.00000164,-3.749,0.00004496,0.00004373,0.00004211,134.00000000,0.00004206,1556.00000000,0.00004211,261.00000000,0.00004375,0.00004845,0.00004163,7354573.00000000,330.63734977,1637100124844,1637186524844,14599334,14649907,50574
LRCETH,-0.00002850,-4.578,0.00065426,0.00062198,0.00059402,50.00000000,0.00059367,443.00000000,0.00059514,1187.00000000,0.00062252,0.00069519,0.00059227,2416928.00000000,1581.29642634,1637100125345,1637186525345,3763966,3772456,8491
QTUMBTC,-0.00000680,-2.646,0.00025044,0.00025690,0.00025020,126.00000000,0.00025020,16.00000000,0.00025040,397.20000000,0.00025700,0.00025730,0.00024610,258909.10000000,64.84205502,1637100125773,1637186525773,21747392,21754515,7124
YOYOBTC,0.00000001,2.941,0.00000036,0.00000033,0.00000035,12666.00000000,0.00000035,3769300.00000000,0.00000036,908853.00000000,0.00000034,0.00000038,0.00000033,23214216.00000000,8.27004898,1637100106426,1637186506426,6972290,6974811,2522
OMGBTC,-0.00000350,-2.006,0.00017563,0.00017430,0.00017100,52.80000000,0.00017090,914.30000000,0.00017110,780.00000000,0.00017450,0.00018270,0.00016890,930887.40000000,163.48736707,1637100125044,1637186525044,23922481,23943256,20776
OMGETH,-0.00006600,-2.663,0.00250698,0.00247700,0.00241200,12.60000000,0.00241300,682.10000000,0.00241500,305.40000000,0.00247800,0.00260500,0.00240100,212738.10000000,533.32998180,1637100125041,1637186525041,5399214,5404565,5352
ZRXBTC,0.00000048,2.572,0.00001886,0.00001866,0.00001914,72.00000000,0.00001912,232.00000000,0.00001915,160.00000000,0.00001866,0.00001930,0.00001841,733828.00000000,13.83872942,1637100125219,1637186525219,23670192,23675201,5010
ZRXETH,0.00000450,1.694,0.00026878,0.00026430,0.00027020,43.00000000,0.00026950,4358.00000000,0.00027050,3407.00000000,0.00026570,0.00027540,0.00026340,141773.00000000,38.10509630,1637100120752,1637186520752,5182192,5182578,387
STRATBTC,0.00000000,0.000,0.00000000,0.00003085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
STRATETH,0.00000000,0.000,0.00000000,0.00105300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
SNGLSBTC,0.00000000,0.000,0.00000000,0.00000013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
SNGLSETH,0.00000000,0.000,0.00000000,0.00005306,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
BQXBTC,0.00000000,0.000,0.00000000,0.00008703,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
BQXETH,0.00000000,0.000,0.00000000,0.00126350,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
KNCBTC,0.00000117,4.079,0.00002879,0.00002867,0.00002985,180.70000000,0.00002979,2300.00000000,0.00002985,690.80000000,0.00002868,0.00002986,0.00002795,458631.80000000,13.20584727,1637100119296,1637186519296,17205957,17209427,3471
KNCETH,0.00001330,3.273,0.00040805,0.00040650,0.00041960,41.80000000,0.00042040,558.90000000,0.00042280,518.60000000,0.00040630,0.00042260,0.00040050,196545.90000000,80.20147361,1637100117774,1637186517774,4309992,4310816,825
FUNBTC,0.00000001,3.030,0.00000033,0.00000033,0.00000034,1602.00000000,0.00000033,8345404.00000000,0.00000034,10920117.00000000,0.00000033,0.00000034,0.00000032,17648820.00000000,5.86048659,1637100115511,1637186515511,9267767,9270776,3010
FUNETH,0.00000002,0.431,0.00000468,0.00000465,0.00000466,27768.00000000,0.00000466,60108.00000000,0.00000467,60000.00000000,0.00000464,0.00000484,0.00000459,35593038.00000000,166.62172654,1637100096601,1637186496601,2877477,2878771,1295
SNMBTC,-0.00000256,-23.188,0.00000952,0.00001106,0.00000848,663.00000000,0.00000844,788.00000000,0.00000848,1607.00000000,0.00001104,0.00001180,0.00000834,26702344.00000000,254.09367276,1637100123052,1637186523052,8196137,8318660,122524
SNMETH,0.00000000,0.000,0.00000000,0.00004986,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
NEOETH,-0.00012000,-1.175,0.01014531,0.01021000,0.01009000,19.44000000,0.01007000,75.94000000,0.01009000,638.00000000,0.01021000,0.01025000,0.01003000,15575.37000000,158.01695500,1637100125524,1637186525524,10411298,10412881,1584
IOTABTC,0.00000143,6.539,0.00002315,0.00002187,0.00002330,602.00000000,0.00002328,3472.00000000,0.00002331,1015.00000000,0.00002187,0.00002460,0.00002162,17360727.00000000,401.96788862,1637100124561,1637186524561,31372931,31422899,49969
IOTAETH,0.00001810,5.826,0.00033314,0.00031060,0.00032880,571.00000000,0.00032860,571.00000000,0.00032900,1213.00000000,0.00031070,0.00035000,0.00030910,3104222.00000000,1034.13633480,1637100125463,1637186525463,7479872,7485159,5288
LINKBTC,-0.00000670,-1.366,0.00048401,0.00049010,0.00048370,56.34000000,0.00048390,40.63000000,0.00048400,169.78000000,0.00049040,0.00049300,0.00047800,884589.64000000,428.14894746,1637100125128,1637186525128,70968707,71002396,33690
LINKETH,-0.00013400,-1.924,0.00691300,0.00696900,0.00682900,19.99000000,0.00682900,19.99000000,0.00683200,88.84000000,0.00696300,0.00699500,0.00682800,202940.21000000,1402.92548043,1637100125026,1637186525026,14934243,14943191,8949
XVGBTC,0.00000004,8.889,0.00000046,0.00000044,0.00000049,53969.00000000,0.00000048,6419722.00000000,0.00000049,4949741.00000000,0.00000045,0.00000049,0.00000043,221221153.00000000,102.69923955,1637100125160,1637186525160,28723001,28730152,7152
XVGETH,0.00000055,8.648,0.00000656,0.00000636,0.00000691,1100.00000000,0.00000690,68419.00000000,0.00000692,22158.00000000,0.00000636,0.00000693,0.00000623,109653952.00000000,719.23259590,1637100113209,1637186513209,10419408,10425333,5926
SALTBTC,0.00000000,0.000,0.00000000,0.00004250,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
SALTETH,0.00000000,0.000,0.00000000,0.00113800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
MDABTC,0.00000042,4.393,0.00000977,0.00000955,0.00000998,55.00000000,0.00000997,399.00000000,0.00000999,3.00000000,0.00000956,0.00001057,0.00000942,1625392.00000000,15.88269359,1637100111497,1637186511497,14018864,14023735,4872
MDAETH,0.00000000,0.000,0.00000000,0.00181150,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
MTLBTC,0.00000528,10.431,0.00005468,0.00005080,0.00005590,10.70000000,0.00005582,218.20000000,0.00005593,429.50000000,0.00005062,0.00005863,0.00005018,2027497.70000000,110.86719013,1637100124157,1637186524157,18099715,18116731,17017
MTLETH,0.00007600,10.637,0.00077423,0.00072310,0.00079050,54.00000000,0.00078750,598.10000000,0.00079060,1193.40000000,0.00071450,0.00083450,0.00071450,354923.50000000,274.79186336,1637100119143,1637186519143,2680253,2682139,1887
SUBBTC,0.00000000,0.000,0.00000000,0.00000457,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
SUBETH,0.00000000,0.000,0.00000000,0.00012334,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
EOSBTC,-0.00000060,-0.828,0.00007209,0.00007250,0.00007190,17.50000000,0.00007180,2238.20000000,0.00007190,11145.80000000,0.00007250,0.00007290,0.00007130,1407314.00000000,101.45830265,1637100123122,1637186523122,70311944,70320796,8853
SNTBTC,0.00000009,6.250,0.00000149,0.00000145,0.00000153,329.00000000,0.00000152,187384.00000000,0.00000154,77912.00000000,0.00000144,0.00000155,0.00000144,3844251.00000000,5.71688606,1637100121930,1637186521930,10483876,10487587,3712
ETCETH,-0.00012000,-0.994,0.01204822,0.01205000,0.01195000,1.00000000,0.01195000,28.99000000,0.01196000,36.97000000,0.01207000,0.01216000,0.01194000,7763.06000000,93.53107780,1637100125430,1637186525430,7357326,7359683,2358
ETCBTC,-0.00000300,-0.353,0.00084396,0.00084800,0.00084600,1.08000000,0.00084600,539.04000000,0.00084800,958.31000000,0.00084900,0.00085300,0.00083700,62972.31000000,53.14591461,1637100125387,1637186525387,37539152,37546450,7299
MTHBTC,0.00000003,5.556,0.00000056,0.00000054,0.00000057,3414.00000000,0.00000057,1062280.00000000,0.00000058,374617.00000000,0.00000054,0.00000059,0.00000054,14219740.00000000,7.98531434,1637100101224,1637186501224,7139256,7140097,842
MTHETH,0.00000000,0.000,0.00000000,0.00004135,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
ENGBTC,0.00000000,0.000,0.00000000,0.00006200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
ENGETH,0.00000000,0.000,0.00000000,0.00186480,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
DNTBTC,-0.00000005,-1.805,0.00000274,0.00000277,0.00000272,493.00000000,0.00000271,26606.00000000,0.00000272,21233.00000000,0.00000277,0.00000278,0.00000270,5336714.00000000,14.59629771,1637100122132,1637186522132,12621053,12625561,4509
ZECBTC,-0.00018600,-6.660,0.00267768,0.00279300,0.00260700,0.56000000,0.00260500,14.62100000,0.00260700,2.30000000,0.00279300,0.00280300,0.00259500,33588.08400000,89.93818698,1637100125331,1637186525331,22082955,22096266,13312
